,STATION,NAME,DATE,RELEASE_DATE,TIME,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT06,WT08
1,CLINYC,Central Park NY,2025-07-23,2025-07-24,02:17,2.2,,0.0,0.0,0.0,75,80,69,220,240,9,23,0,0,0,0,0
2,CLINYC,Central Park NY,2025-07-23,2025-07-23,16:37,1.9,,,,0.0,75,80,69,160,120,7,17,0,0,0,0,0
